path rank	path score	path
1	0.5625	P00533|P0CG47|Q16236
2	0.5625	P00533|P10275|P14859
3	0.5625	P00533|P10275|Q15797
4	0.5625	P00533|P24385|P14859
5	0.5625	P00533|P27361|Q15797
6	0.5625	P00533|P28482|Q15797
7	0.5625	P00533|P42229|P14859
8	0.5625	P00533|P51692|P14859
9	0.527334	P00533|P68366|Q15797
10	0.502197	P00533|P27361|P36956
11	0.502197	P00533|P28482|P36956
12	0.501253	P00533|P07948|P14859
13	0.472237	P00533|Q13153|Q15797
14	0.421875	P00533|P07948|P27361|Q15797
15	0.421875	P00533|P0CG47|P0CG48|Q16236
16	0.421875	P00533|P0CG47|P62979|Q16236
17	0.421875	P00533|P0CG47|P62987|Q16236
18	0.421875	P00533|P10275|P05412|Q16236
19	0.421875	P00533|P10275|P84022|Q15797
20	0.421875	P00533|P10275|Q92831|Q15797
21	0.421875	P00533|P15498|P28482|Q15797
22	0.421875	P00533|P24385|P10275|P14859
23	0.421875	P00533|P24385|P10275|Q15797
24	0.421875	P00533|P27361|P10275|P14859
25	0.421875	P00533|P27361|P10275|Q15797
26	0.421875	P00533|P27361|P28482|Q15797
27	0.421875	P00533|P27361|P84022|Q15797
28	0.421875	P00533|P28482|P10275|P14859
29	0.421875	P00533|P28482|P10275|Q15797
30	0.421875	P00533|P28482|P84022|Q15797
31	0.421875	P00533|P28482|Q13501|Q15797
32	0.421875	P00533|P31749|P10275|P14859
33	0.421875	P00533|P31749|P10275|Q15797
34	0.421875	P00533|P31749|Q09472|Q15797
35	0.421875	P00533|P42224|P24385|P14859
36	0.421875	P00533|P42224|P42229|P14859
37	0.421875	P00533|P42224|P51692|P14859
38	0.421875	P00533|P42229|P10276|Q16236
39	0.421875	P00533|P42229|P24385|P14859
40	0.421875	P00533|P42229|P51692|P14859
41	0.421875	P00533|P51692|P24385|P14859
42	0.421875	P00533|P51692|P42229|P14859
43	0.421875	P35968|P06241|P08047|P14859
44	0.421875	P35968|P16333|P08047|P14859
45	0.421875	P35968|P62993|P27361|Q15797
46	0.421875	P35968|P62993|Q9Y478|P36956
47	0.421875	Q02763|P08575|P27361|Q15797
48	0.421875	Q02763|P23467|P27361|Q15797
49	0.421875	Q02763|P23467|P28482|Q15797
50	0.421875	Q02763|Q12913|Q13501|Q15797
